name: 15be5c49-5377-4757-a408-8150fac602eb num_items: 20002
token, class_id, token_value, token_tf, token_df
дивизион, @default_class, 0.00015603064093738794, 436.0, 252.0
боль, @default_class, 5.439600136014633e-05, 152.0, 101.0
no, @default_class, 3.6502580769592896e-05, 102.0, 60.0
d, @default_class, 3.0060948120080866e-05, 84.0, 54.0
называть, @default_class, 0.0005840412923134863, 1632.0, 1178.0
200, @default_class, 0.0001971855090232566, 551.0, 444.0
спонсор, @default_class, 3.93655282096006e-05, 110.0, 94.0
возраст, @default_class, 0.0004051070718560368, 1132.0, 830.0
португалия, @default_class, 0.00011201282177353278, 313.0, 130.0
финишировать, @default_class, 5.761681677540764e-05, 161.0, 74.0
театр, @default_class, 0.0005393077153712511, 1507.0, 540.0
эксперт, @default_class, 3.9007660234346986e-05, 109.0, 76.0
учитывать, @default_class, 4.5091423089616e-05, 126.0, 112.0
двойной, @default_class, 5.940616028965451e-05, 166.0, 116.0
доказательство, @default_class, 5.153305392013863e-05, 144.0, 126.0
нефть, @default_class, 4.6165027015376836e-05, 129.0, 81.0
вес, @default_class, 0.00015638850163668394, 437.0, 268.0
выясняться, @default_class, 2.8987342375330627e-05, 81.0, 62.0
холодное, @default_class, 2.2903579520061612e-05, 64.0, 55.0
зима, @default_class, 5.725894880015403e-05, 160.0, 116.0
108, @default_class, 1.860915836005006e-05, 52.0, 50.0
революция, @default_class, 0.00023225661425385624, 649.0, 456.0
любительский, @default_class, 5.010158201912418e-05, 140.0, 113.0
невский, @default_class, 2.147210580005776e-05, 60.0, 53.0
археологический, @default_class, 8.588842320023105e-05, 240.0, 158.0
отпустить, @default_class, 2.004063208005391e-05, 56.0, 53.0
илья, @default_class, 4.008126416010782e-05, 112.0, 72.0
скоро, @default_class, 2.7555868655326776e-05, 77.0, 74.0
мельбурн, @default_class, 2.0398500055307522e-05, 57.0, 56.0
седьмой, @default_class, 9.197218605550006e-05, 257.0, 221.0
звучать, @default_class, 5.010158201912418e-05, 140.0, 123.0
внутренний, @default_class, 0.00033389125019311905, 933.0, 630.0
растение, @default_class, 0.0003711095778271556, 1037.0, 492.0
четверть, @default_class, 3.972339618485421e-05, 111.0, 99.0
ст, @default_class, 6.871073856018484e-05, 192.0, 96.0
шестой, @default_class, 0.00013849508832208812, 387.0, 336.0
легкоатлет, @default_class, 1.8251290384796448e-05, 51.0, 50.0
узнать, @default_class, 0.00012847477046307176, 359.0, 287.0
убедить, @default_class, 2.9345212169573642e-05, 82.0, 77.0
студийный, @default_class, 0.0001012767679640092, 283.0, 231.0
штаб-квартира, @default_class, 4.3302079575369135e-05, 121.0, 104.0
москва, @default_class, 0.0008978918776847422, 2509.0, 1240.0
венгерский, @default_class, 7.837318844394758e-05, 219.0, 119.0
протест, @default_class, 5.260666148387827e-05, 147.0, 115.0
квартира, @default_class, 8.481481927447021e-05, 237.0, 170.0
фасад, @default_class, 5.654321284964681e-05, 158.0, 108.0
1838, @default_class, 3.8649792259093374e-05, 108.0, 99.0
непосредственно, @default_class, 0.00013599000521935523, 380.0, 329.0
партизан, @default_class, 3.256602940382436e-05, 91.0, 62.0
экземпляр, @default_class, 8.76777630764991e-05, 245.0, 178.0
пассажирский, @default_class, 8.946711022872478e-05, 250.0, 137.0
экономический, @default_class, 0.0002730536216404289, 763.0, 419.0
взрослый, @default_class, 0.00012203313963254914, 341.0, 282.0
общеобразовательный, @default_class, 3.256602940382436e-05, 91.0, 76.0
пожаловать, @default_class, 4.8670106480130926e-05, 136.0, 106.0
насчитываться, @default_class, 8.338334737345576e-05, 233.0, 197.0
радио, @default_class, 7.658384856767952e-05, 214.0, 169.0
42, @default_class, 6.19112397544086e-05, 173.0, 159.0
1895, @default_class, 9.0182846179232e-05, 252.0, 180.0
юношеский, @default_class, 4.1512739699101076e-05, 116.0, 90.0
делаться, @default_class, 3.6144712794339284e-05, 101.0, 92.0
забить, @default_class, 0.00023905611305963248, 668.0, 215.0
оттуда, @default_class, 5.403813338489272e-05, 151.0, 137.0
гражданин, @default_class, 0.00019002813496626914, 531.0, 315.0
какой-либо, @default_class, 9.447726915823296e-05, 264.0, 228.0
столетие, @default_class, 6.226910772966221e-05, 174.0, 144.0
повышенный, @default_class, 2.7198000680073164e-05, 76.0, 61.0
отличиться, @default_class, 5.153305392013863e-05, 144.0, 123.0
батальон, @default_class, 0.00021973121329210699, 614.0, 213.0
древесина, @default_class, 2.6124394935322925e-05, 73.0, 54.0
гвардейский, @default_class, 0.00021829974139109254, 610.0, 185.0
вылет, @default_class, 4.723863457911648e-05, 132.0, 88.0
финал, @default_class, 0.0004945741966366768, 1382.0, 619.0
русско-турецкий, @default_class, 2.8271606424823403e-05, 79.0, 67.0
василиевич, @default_class, 0.00013670574116986245, 382.0, 184.0
экономика, @default_class, 0.00013312706141732633, 372.0, 239.0
текст, @default_class, 0.00029273636755533516, 818.0, 427.0
изображать, @default_class, 3.686044874484651e-05, 103.0, 86.0
австрия, @default_class, 8.052039629546925e-05, 225.0, 186.0
1858, @default_class, 4.3659947550622746e-05, 122.0, 97.0
укрепить, @default_class, 3.041881791432388e-05, 85.0, 69.0
1788, @default_class, 2.111423782480415e-05, 59.0, 50.0
1850, @default_class, 3.578684481908567e-05, 100.0, 82.0
царствование, @default_class, 2.505079100956209e-05, 70.0, 54.0
1846, @default_class, 2.791373844956979e-05, 78.0, 60.0
71, @default_class, 2.0756369849550538e-05, 58.0, 52.0
англия, @default_class, 0.00027448509354144335, 767.0, 445.0
процент, @default_class, 3.292389737907797e-05, 92.0, 66.0
построение, @default_class, 4.0797000110615045e-05, 114.0, 93.0
1864, @default_class, 6.298484368016943e-05, 176.0, 134.0
расстояние, @default_class, 0.0003771933261305094, 1054.0, 732.0
ул, @default_class, 0.00029452572925947607, 823.0, 615.0
киров, @default_class, 2.8987342375330627e-05, 81.0, 53.0
восстановление, @default_class, 0.00014278950402513146, 399.0, 285.0
бельгия, @default_class, 9.483513713348657e-05, 265.0, 174.0
увеличиться, @default_class, 4.723863457911648e-05, 132.0, 118.0
1950-й, @default_class, 7.729958451818675e-05, 216.0, 201.0
владелец, @default_class, 0.00014135803212411702, 395.0, 297.0
скорость, @default_class, 0.0002451398759149015, 685.0, 347.0
чел, @default_class, 0.0001996905921259895, 558.0, 459.0
нижегородский, @default_class, 8.875137427821755e-05, 248.0, 100.0
необычный, @default_class, 2.0398500055307522e-05, 57.0, 56.0
дождь, @default_class, 4.3659947550622746e-05, 122.0, 89.0
выпадать, @default_class, 2.0756369849550538e-05, 58.0, 53.0
жена, @default_class, 0.0004741756711155176, 1325.0, 766.0
2008, @default_class, 0.0006649195565842092, 1858.0, 1277.0
1903, @default_class, 7.801532046869397e-05, 218.0, 175.0
песчаный, @default_class, 2.147210580005776e-05, 60.0, 55.0
1901, @default_class, 7.372089748969302e-05, 206.0, 158.0
сделка, @default_class, 3.185028981533833e-05, 89.0, 77.0
документ, @default_class, 0.0002784216485451907, 778.0, 458.0
джек, @default_class, 5.224878987064585e-05, 146.0, 76.0
водитель, @default_class, 3.6144712794339284e-05, 101.0, 62.0
разместиться, @default_class, 3.077668588957749e-05, 86.0, 76.0
секция, @default_class, 6.119550380390137e-05, 171.0, 111.0
1896, @default_class, 9.197218605550006e-05, 257.0, 196.0
сквозь, @default_class, 2.648226472956594e-05, 74.0, 68.0
обойти, @default_class, 2.9345212169573642e-05, 82.0, 68.0
кандидатский, @default_class, 2.791373844956979e-05, 78.0, 71.0
1957, @default_class, 0.00014779967023059726, 413.0, 340.0
бегство, @default_class, 2.9345212169573642e-05, 82.0, 72.0
волостной, @default_class, 3.220815779059194e-05, 90.0, 59.0
фланг, @default_class, 4.759650255437009e-05, 133.0, 71.0
формироваться, @default_class, 4.043913213536143e-05, 113.0, 101.0
1869, @default_class, 4.1154871723847464e-05, 115.0, 96.0
завоевание, @default_class, 3.686044874484651e-05, 103.0, 88.0
активность, @default_class, 6.405844760593027e-05, 179.0, 129.0
руководить, @default_class, 0.00013312706141732633, 372.0, 316.0
компьютерный, @default_class, 9.161431808024645e-05, 256.0, 194.0
вмс, @default_class, 6.226910772966221e-05, 174.0, 88.0
сдать, @default_class, 3.721831672010012e-05, 104.0, 96.0
договориться, @default_class, 2.3261447495315224e-05, 65.0, 59.0
выставить, @default_class, 3.8649792259093374e-05, 108.0, 96.0
игорь, @default_class, 9.734021296026185e-05, 272.0, 166.0
схема, @default_class, 9.376153320772573e-05, 262.0, 164.0
разногласие, @default_class, 2.9345212169573642e-05, 82.0, 76.0
смена, @default_class, 7.980466034496203e-05, 223.0, 193.0
дебютный, @default_class, 9.411940118297935e-05, 263.0, 210.0
достигать, @default_class, 0.00017929208115674555, 501.0, 411.0
слияние, @default_class, 5.976402826490812e-05, 167.0, 145.0
«на, @default_class, 7.014221046119928e-05, 196.0, 166.0
объединение, @default_class, 0.00017964995640795678, 502.0, 366.0
ян, @default_class, 0.00010235037188977003, 286.0, 135.0
кирпич, @default_class, 2.9703080144827254e-05, 83.0, 50.0
аудитория, @default_class, 3.328176535433158e-05, 93.0, 70.0
масштаб, @default_class, 3.829192428383976e-05, 107.0, 98.0
конституция, @default_class, 0.00011881232057930902, 332.0, 151.0
дзюдо, @default_class, 4.3302079575369135e-05, 121.0, 97.0
вещь, @default_class, 8.374121534870937e-05, 234.0, 175.0
олимпиада, @default_class, 0.00018251290020998567, 510.0, 281.0
наш, @default_class, 0.00033961713779717684, 949.0, 552.0
ниже, @default_class, 0.00015280982188414782, 427.0, 371.0
кормовой, @default_class, 2.8271606424823403e-05, 79.0, 51.0
архангельский, @default_class, 3.578684481908567e-05, 100.0, 94.0
студенческий, @default_class, 4.6165027015376836e-05, 129.0, 102.0
поперечный, @default_class, 8.266761142294854e-05, 231.0, 61.0
комитет, @default_class, 0.0003736146609298885, 1044.0, 546.0
ветвь, @default_class, 9.87716848612763e-05, 276.0, 171.0
размещаться, @default_class, 7.014221046119928e-05, 196.0, 167.0
прогресс, @default_class, 2.111423782480415e-05, 59.0, 52.0
пропустить, @default_class, 7.264729356393218e-05, 203.0, 149.0
снять, @default_class, 0.00015137834998313338, 423.0, 343.0
h, @default_class, 3.185028981533833e-05, 89.0, 54.0
трудовой, @default_class, 7.801532046869397e-05, 218.0, 158.0
подчинённый, @default_class, 3.149242184008472e-05, 88.0, 77.0
ядро, @default_class, 8.123613224597648e-05, 227.0, 118.0
предпринять, @default_class, 5.010158201912418e-05, 140.0, 120.0
донский, @default_class, 3.93655282096006e-05, 110.0, 68.0
близкие, @default_class, 1.896702633530367e-05, 53.0, 52.0
фауна, @default_class, 2.8271606424823403e-05, 79.0, 64.0
нужда, @default_class, 3.793405267060734e-05, 106.0, 99.0
попадать, @default_class, 0.00012346460425760597, 345.0, 284.0
первоначальный, @default_class, 7.479450141545385e-05, 209.0, 191.0
осуществлять, @default_class, 0.00010199250391451642, 285.0, 237.0
наместник, @default_class, 3.793405267060734e-05, 106.0, 68.0
педагогический, @default_class, 9.447726915823296e-05, 264.0, 175.0
союзник, @default_class, 7.658384856767952e-05, 214.0, 145.0
промышленность, @default_class, 0.00016211440379265696, 453.0, 288.0
412, @default_class, 3.041881791432388e-05, 85.0, 85.0
1898, @default_class, 6.692139868391678e-05, 187.0, 153.0
ботанический, @default_class, 3.435536928009242e-05, 96.0, 55.0
37, @default_class, 6.513205880764872e-05, 182.0, 163.0
давид, @default_class, 5.260666148387827e-05, 147.0, 84.0
перспектива, @default_class, 3.149242184008472e-05, 88.0, 75.0
резиденция, @default_class, 5.260666148387827e-05, 147.0, 109.0
условие, @default_class, 0.00047775436541996896, 1335.0, 865.0
1856, @default_class, 3.6144712794339284e-05, 101.0, 80.0
заключение, @default_class, 0.0001431473792763427, 400.0, 292.0
ярко, @default_class, 2.648226472956594e-05, 74.0, 72.0
округ, @default_class, 0.0007644069846719503, 2136.0, 879.0
31, @default_class, 0.00026339117903262377, 736.0, 583.0
признак, @default_class, 6.799500260967761e-05, 190.0, 147.0
отсюда, @default_class, 4.4017819163855165e-05, 123.0, 118.0
гран-при, @default_class, 7.515236939070746e-05, 210.0, 117.0
1940, @default_class, 0.00021758400544058532, 608.0, 422.0
1,5, @default_class, 0.00010807626676978543, 302.0, 273.0
160, @default_class, 3.829192428383976e-05, 107.0, 102.0
стрельба, @default_class, 0.00010163463593926281, 284.0, 195.0
предназначаться, @default_class, 3.721831672010012e-05, 104.0, 87.0
60-й, @default_class, 4.187060767435469e-05, 117.0, 99.0
сегодня, @default_class, 9.411940118297935e-05, 263.0, 221.0
наблюдаться, @default_class, 8.553055522497743e-05, 239.0, 184.0
порядок, @default_class, 0.0003074089763686061, 859.0, 614.0
крыша, @default_class, 6.405844760593027e-05, 179.0, 128.0
ошибочно, @default_class, 2.4692921215319075e-05, 69.0, 64.0
объект, @default_class, 0.00036502580041997135, 1020.0, 583.0
змея, @default_class, 4.258634362486191e-05, 119.0, 59.0
ежегодный, @default_class, 6.656353070866317e-05, 186.0, 166.0
корова, @default_class, 3.471323725534603e-05, 97.0, 54.0
возвратить, @default_class, 6.978434248594567e-05, 195.0, 173.0
зуб, @default_class, 4.938584243063815e-05, 138.0, 68.0
осуществить, @default_class, 9.197218605550006e-05, 257.0, 216.0
пещера, @default_class, 6.692139868391678e-05, 187.0, 90.0
км².############ть, @default_class, 4.688076660386287e-05, 131.0, 131.0
2-3, @default_class, 2.004063208005391e-05, 56.0, 51.0
сердце, @default_class, 8.052039629546925e-05, 225.0, 164.0
отметить, @default_class, 0.0002701906778384, 755.0, 572.0
когда-либо, @default_class, 2.397718526481185e-05, 67.0, 59.0
лошадь, @default_class, 8.910924225347117e-05, 249.0, 166.0
выбыть, @default_class, 4.0797000110615045e-05, 114.0, 93.0
окраска, @default_class, 4.902797445538454e-05, 137.0, 121.0
курс, @default_class, 0.0002966729225590825, 829.0, 543.0
строить, @default_class, 5.940616028965451e-05, 166.0, 144.0
раздел, @default_class, 0.00011881232057930902, 332.0, 192.0
стекло, @default_class, 6.692139868391678e-05, 187.0, 87.0
двенадцатый, @default_class, 2.218784356955439e-05, 62.0, 59.0
капитуляция, @default_class, 2.0398500055307522e-05, 57.0, 51.0
ось, @default_class, 9.841381688602269e-05, 275.0, 109.0
заявлять, @default_class, 3.6502580769592896e-05, 102.0, 80.0
ёмкость, @default_class, 3.328176535433158e-05, 93.0, 61.0
интерфейс, @default_class, 3.6144712794339284e-05, 101.0, 59.0
брянский, @default_class, 8.839350630296394e-05, 247.0, 124.0
поддерживать, @default_class, 0.00020112206402700394, 562.0, 416.0
видео, @default_class, 7.944679236970842e-05, 222.0, 119.0
превращаться, @default_class, 2.8271606424823403e-05, 79.0, 69.0
вниз, @default_class, 4.8312238504877314e-05, 135.0, 121.0
бренд, @default_class, 4.258634362486191e-05, 119.0, 61.0
собственность, @default_class, 0.0001044975797412917, 292.0, 180.0
формула, @default_class, 5.654321284964681e-05, 158.0, 91.0
равно, @default_class, 6.477418355643749e-05, 181.0, 148.0
конечный, @default_class, 0.00012239100760780275, 342.0, 278.0
твёрдый, @default_class, 4.652289499063045e-05, 130.0, 99.0
лейб-гвардия, @default_class, 3.077668588957749e-05, 86.0, 52.0
конституционный, @default_class, 4.688076660386287e-05, 131.0, 70.0
сниматься, @default_class, 9.268792200600728e-05, 259.0, 183.0
соответствовать, @default_class, 0.00020649009093176574, 577.0, 454.0
проиграть, @default_class, 0.00026410690043121576, 738.0, 308.0
5-й, @default_class, 0.00014171590737532824, 396.0, 263.0
обозначить, @default_class, 4.258634362486191e-05, 119.0, 75.0
святой, @default_class, 0.0005618534632958472, 1570.0, 617.0
набор, @default_class, 0.00011237068974878639, 314.0, 213.0
уравнение, @default_class, 7.586810534121469e-05, 212.0, 54.0
крис, @default_class, 5.654321284964681e-05, 158.0, 90.0
уменьшение, @default_class, 3.220815779059194e-05, 90.0, 78.0
петрович, @default_class, 8.481481927447021e-05, 237.0, 152.0
опыт, @default_class, 0.00014815753092989326, 414.0, 310.0
майор, @default_class, 7.407876546494663e-05, 207.0, 132.0
утешительный, @default_class, 4.294421160011552e-05, 120.0, 75.0
попов, @default_class, 2.7198000680073164e-05, 76.0, 52.0
43, @default_class, 5.1175185944885015e-05, 143.0, 139.0
десять, @default_class, 0.00014028442092239857, 392.0, 346.0
делиться, @default_class, 0.00010628692689351737, 297.0, 276.0
местечко, @default_class, 3.578684481908567e-05, 100.0, 80.0
пакет, @default_class, 3.972339618485421e-05, 111.0, 59.0
дебютировать, @default_class, 0.0001975433697225526, 552.0, 388.0
статья, @default_class, 0.0002573074016254395, 719.0, 471.0
заявка, @default_class, 2.505079100956209e-05, 70.0, 53.0
начальство, @default_class, 2.4692921215319075e-05, 69.0, 51.0
профессия, @default_class, 3.3639633329585195e-05, 94.0, 86.0
воздушный, @default_class, 0.00017571340140420943, 491.0, 250.0
технологический, @default_class, 7.551023736596107e-05, 211.0, 144.0
совершенно, @default_class, 8.409908332396299e-05, 235.0, 196.0
потомок, @default_class, 9.483513713348657e-05, 265.0, 179.0
сестра, @default_class, 0.00025659168022684753, 717.0, 426.0
временной, @default_class, 0.0001381372130708769, 386.0, 282.0
вмф, @default_class, 7.085795368766412e-05, 198.0, 81.0
след, @default_class, 6.906860653543845e-05, 193.0, 157.0
судьба, @default_class, 0.00010592905891826376, 296.0, 245.0
катер, @default_class, 7.228942558867857e-05, 202.0, 65.0
молодой, @default_class, 0.00039293954614549875, 1098.0, 745.0
род, @default_class, 0.0005035208887420595, 1407.0, 1023.0
израильский, @default_class, 3.185028981533833e-05, 89.0, 50.0
кампания, @default_class, 0.00017857634520623833, 499.0, 328.0
навык, @default_class, 3.829192428383976e-05, 107.0, 74.0
сегодняшний, @default_class, 4.473355511436239e-05, 125.0, 116.0
полевой, @default_class, 6.012189624016173e-05, 168.0, 112.0
примыкать, @default_class, 8.338334737345576e-05, 233.0, 199.0
руда, @default_class, 3.149242184008472e-05, 88.0, 53.0
фестиваль, @default_class, 0.00022116269974503666, 618.0, 275.0
француз, @default_class, 0.00010306610784027725, 288.0, 130.0
нацистский, @default_class, 2.6840132704819553e-05, 75.0, 56.0
верховье, @default_class, 2.0398500055307522e-05, 57.0, 54.0
коллега, @default_class, 6.262697570491582e-05, 175.0, 141.0
публичный, @default_class, 6.548992678290233e-05, 183.0, 139.0
ветеран, @default_class, 3.8649792259093374e-05, 108.0, 85.0
окно, @default_class, 7.193155761342496e-05, 201.0, 147.0
смирнов, @default_class, 3.578684481908567e-05, 100.0, 52.0
душа, @default_class, 0.00014171590737532824, 396.0, 250.0
форма, @default_class, 0.0006463103927671909, 1806.0, 1101.0
открываться, @default_class, 5.546960892388597e-05, 155.0, 113.0
адам, @default_class, 4.723863457911648e-05, 132.0, 65.0
специально, @default_class, 0.00010592905891826376, 296.0, 250.0
рисунок, @default_class, 0.00012453821545932442, 348.0, 207.0
полость, @default_class, 3.3997501304838806e-05, 95.0, 55.0
переписка, @default_class, 3.721831672010012e-05, 104.0, 78.0
тщательно, @default_class, 2.8629474400077015e-05, 80.0, 72.0
подарок, @default_class, 4.437568713910878e-05, 124.0, 91.0
проблема, @default_class, 0.0003711095778271556, 1037.0, 695.0
портрет, @default_class, 0.00012489609071053565, 349.0, 132.0
богородица, @default_class, 5.546960892388597e-05, 155.0, 88.0
печать, @default_class, 9.411940118297935e-05, 263.0, 167.0
совет,######лозовский, @default_class, 2.2903579520061612e-05, 64.0, 64.0
возведение, @default_class, 2.6124394935322925e-05, 73.0, 54.0
разрыв, @default_class, 3.0060948120080866e-05, 84.0, 77.0
покидать, @default_class, 3.757618469535373e-05, 105.0, 90.0
константинополь, @default_class, 3.185028981533833e-05, 89.0, 52.0
юго-восток, @default_class, 0.00012310674355830997, 344.0, 315.0
текущий, @default_class, 4.1154871723847464e-05, 115.0, 94.0
коллективизация, @default_class, 2.4692921215319075e-05, 69.0, 66.0
установленный, @default_class, 6.871073856018484e-05, 192.0, 162.0
принцип, @default_class, 0.00017571340140420943, 491.0, 316.0
1861, @default_class, 6.548992678290233e-05, 183.0, 159.0
математик, @default_class, 2.147210580005776e-05, 60.0, 53.0
доля, @default_class, 0.00010628692689351737, 297.0, 196.0
180, @default_class, 3.578684481908567e-05, 100.0, 93.0
менеджер, @default_class, 3.8649792259093374e-05, 108.0, 76.0
разрушение, @default_class, 4.759650255437009e-05, 133.0, 103.0
юнеско, @default_class, 2.9703080144827254e-05, 83.0, 63.0
изучать, @default_class, 0.0001263275626115501, 353.0, 305.0
серийный, @default_class, 5.010158201912418e-05, 140.0, 96.0
абсолютно, @default_class, 2.5408658984815702e-05, 71.0, 61.0
96, @default_class, 1.96827641048003e-05, 55.0, 52.0
обнаружение, @default_class, 3.507110523059964e-05, 98.0, 75.0
епархия, @default_class, 0.0001606829318916425, 449.0, 147.0
ограничить, @default_class, 5.725894880015403e-05, 160.0, 144.0
осада, @default_class, 6.548992678290233e-05, 183.0, 124.0
романтический, @default_class, 2.648226472956594e-05, 74.0, 62.0
вода, @default_class, 0.0006012189551256597, 1680.0, 819.0
президент, @default_class, 0.000569010793697089, 1590.0, 703.0
перевозка, @default_class, 8.266761142294854e-05, 231.0, 136.0
приключение, @default_class, 3.542897684383206e-05, 99.0, 78.0
порой, @default_class, 2.218784356955439e-05, 62.0, 56.0
разновидность, @default_class, 6.298484368016943e-05, 176.0, 149.0
кнр, @default_class, 9.519300510874018e-05, 266.0, 131.0
1894, @default_class, 6.405844760593027e-05, 179.0, 130.0
перенести, @default_class, 0.000129190506413579, 361.0, 298.0
включаться, @default_class, 2.218784356955439e-05, 62.0, 58.0
телевидение, @default_class, 0.00011416002962505445, 319.0, 221.0
реклама, @default_class, 3.0060948120080866e-05, 84.0, 68.0
тонкий, @default_class, 9.0182846179232e-05, 252.0, 203.0
рот, @default_class, 3.6502580769592896e-05, 102.0, 84.0
диалект, @default_class, 4.258634362486191e-05, 119.0, 70.0
обмен, @default_class, 8.731989510124549e-05, 244.0, 179.0
региональный, @default_class, 0.0001492311421316117, 417.0, 294.0
энергия, @default_class, 0.0001324113254668191, 370.0, 202.0
критерий, @default_class, 2.397718526481185e-05, 67.0, 50.0
1991, @default_class, 0.00027412723284214735, 766.0, 604.0
1836, @default_class, 2.5766526960069314e-05, 72.0, 65.0
индеец, @default_class, 5.153305392013863e-05, 144.0, 79.0
formula_1, @default_class, 5.1175185944885015e-05, 143.0, 87.0
этаж, @default_class, 8.839350630296394e-05, 247.0, 125.0
частота, @default_class, 0.00010199250391451642, 285.0, 119.0
обозначать, @default_class, 3.3997501304838806e-05, 95.0, 85.0
путешествие, @default_class, 9.87716848612763e-05, 276.0, 186.0
роза, @default_class, 2.4692921215319075e-05, 69.0, 50.0
клиент, @default_class, 4.759650255437009e-05, 133.0, 66.0
момент, @default_class, 0.0005983560113236308, 1672.0, 1198.0
отчёт, @default_class, 4.294421160011552e-05, 120.0, 69.0
пожар, @default_class, 9.59087410592474e-05, 268.0, 171.0
победить, @default_class, 0.0002229520323453471, 623.0, 317.0
разделять, @default_class, 2.397718526481185e-05, 67.0, 64.0
правитель, @default_class, 0.00010557119094301015, 295.0, 197.0
сравнить, @default_class, 2.7555868655326776e-05, 77.0, 61.0
сообщество, @default_class, 6.584779475815594e-05, 184.0, 131.0
расширить, @default_class, 6.835287058493122e-05, 191.0, 164.0
8-й, @default_class, 7.264729356393218e-05, 203.0, 143.0
вероятность, @default_class, 5.654321284964681e-05, 158.0, 100.0
внесение, @default_class, 3.220815779059194e-05, 90.0, 76.0
северо-западный, @default_class, 0.00013133771426510066, 367.0, 244.0
фёдорович, @default_class, 5.189092189539224e-05, 145.0, 98.0
лекция, @default_class, 6.0479764215415344e-05, 169.0, 129.0
тайно, @default_class, 2.2903579520061612e-05, 64.0, 60.0
континентальный, @default_class, 5.0817317969631404e-05, 142.0, 125.0
73-фз, @default_class, 1.7893422409542836e-05, 50.0, 50.0
климат, @default_class, 8.481481927447021e-05, 237.0, 158.0
сетка, @default_class, 3.6144712794339284e-05, 101.0, 63.0
коллегия, @default_class, 3.435536928009242e-05, 96.0, 73.0
1983, @default_class, 0.0001753555261529982, 490.0, 400.0
рубеж, @default_class, 0.00012203313963254914, 341.0, 222.0
ранить, @default_class, 9.841381688602269e-05, 275.0, 214.0
подвеска, @default_class, 0.0002086372987832874, 583.0, 51.0
близко, @default_class, 2.791373844956979e-05, 78.0, 75.0
волос, @default_class, 5.010158201912418e-05, 140.0, 89.0
отличать, @default_class, 2.111423782480415e-05, 59.0, 57.0
ближний, @default_class, 3.721831672010012e-05, 104.0, 92.0
black, @default_class, 6.620566273340955e-05, 185.0, 52.0
выбор, @default_class, 0.0001241803402081132, 347.0, 282.0
легко, @default_class, 8.696202712599188e-05, 243.0, 211.0
точно, @default_class, 6.871073856018484e-05, 192.0, 173.0
1812, @default_class, 6.19112397544086e-05, 173.0, 132.0
зато, @default_class, 2.5766526960069314e-05, 72.0, 60.0
северо-восток, @default_class, 0.00010521332296775654, 294.0, 263.0
тони, @default_class, 3.149242184008472e-05, 88.0, 65.0
dvd, @default_class, 3.93655282096006e-05, 110.0, 75.0
известие, @default_class, 2.0756369849550538e-05, 58.0, 51.0
мастерская, @default_class, 0.00011773871665354818, 329.0, 238.0
находить, @default_class, 9.662447700975463e-05, 270.0, 213.0
группировка, @default_class, 0.0001155915015260689, 323.0, 146.0
степной, @default_class, 2.1829973775311373e-05, 61.0, 54.0
башня, @default_class, 0.0001406422961736098, 393.0, 175.0
музыкальный, @default_class, 0.00042121115257032216, 1177.0, 571.0
температура, @default_class, 0.0002480028197169304, 693.0, 324.0
джордж, @default_class, 9.268792200600728e-05, 259.0, 172.0
х, @default_class, 6.083763582864776e-05, 170.0, 131.0
«с, @default_class, 2.4692921215319075e-05, 69.0, 64.0
2006, @default_class, 0.0005403813556768, 1510.0, 1076.0
оказываться, @default_class, 0.00011738084867829457, 328.0, 229.0
надеяться, @default_class, 3.292389737907797e-05, 92.0, 85.0
существенно, @default_class, 7.765745249344036e-05, 217.0, 181.0
прокат, @default_class, 4.759650255437009e-05, 133.0, 80.0
шаг, @default_class, 7.443663344020024e-05, 208.0, 161.0
выдержать, @default_class, 2.147210580005776e-05, 60.0, 56.0
сухопутный, @default_class, 3.9007660234346986e-05, 109.0, 61.0
водохранилище, @default_class, 5.1175185944885015e-05, 143.0, 82.0
боб, @default_class, 3.8649792259093374e-05, 108.0, 73.0
старт, @default_class, 6.19112397544086e-05, 173.0, 113.0
периодический, @default_class, 3.93655282096006e-05, 110.0, 80.0
геннадий, @default_class, 5.1175185944885015e-05, 143.0, 80.0
принадлежащий, @default_class, 2.648226472956594e-05, 74.0, 71.0
верхний, @default_class, 0.00036001563421450555, 1006.0, 637.0
крестьянин, @default_class, 0.0001717768464004621, 480.0, 287.0
теоретический, @default_class, 3.3997501304838806e-05, 95.0, 81.0
верный, @default_class, 2.3261447495315224e-05, 65.0, 59.0
молодость, @default_class, 2.6124394935322925e-05, 73.0, 70.0
атаковать, @default_class, 9.769808093551546e-05, 273.0, 170.0
футболист, @default_class, 0.00021042664593551308, 588.0, 369.0
подтверждать, @default_class, 2.2903579520061612e-05, 64.0, 62.0
музей, @default_class, 0.00047739650472067297, 1334.0, 534.0
репертуар, @default_class, 4.473355511436239e-05, 125.0, 95.0
османский, @default_class, 3.542897684383206e-05, 99.0, 55.0
дальнейший, @default_class, 0.00036216285661794245, 1012.0, 769.0
донской, @default_class, 4.294421160011552e-05, 120.0, 74.0
снятой, @default_class, 0.00013133771426510066, 367.0, 310.0
рига, @default_class, 8.946711022872478e-05, 250.0, 103.0
мяч, @default_class, 0.0001044975797412917, 292.0, 141.0
фрэнк, @default_class, 5.439600136014633e-05, 152.0, 67.0
you, @default_class, 4.258634362486191e-05, 119.0, 64.0
